order,family,genus,specificEpithet,countryDistribution,biogeographicRealm,iucnStatus,Scientific_Name
Primates,Hominidae,Pan,troglodytes,Senegal|Mali|Guinea-Bissau|Guinea|Sierra Leone|Liberia|Cote d'Ivoire|Ghana|Nigeria|Cameroon|Central African Republic|South Sudan|Equatorial Guinea|Gabon|Republic of the Congo|Democratic Republic of the Congo|Uganda|Rwanda|Burundi|Tanzania,Afrotropic,EN,Pan troglodytes
Primates,Hominidae,Pongo,pygmaeus,Indonesia|Malaysia,Indomalaya,CR,Pongo pygmaeus
Primates,Aotidae,Aotus,trivirgatus,Venezuela|Colombia|Brazil,Neotropic,LC,Aotus trivirgatus
Primates,Atelidae,Alouatta,palliata,Mexico|Guatemala|Honduras|Nicaragua|Costa Rica|Panama|Colombia|Ecuador|Peru,Neotropic,VU,Alouatta palliata
Primates,Atelidae,Ateles,geoffroyi,Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama,Neotropic,EN,Ateles geoffroyi
Primates,Atelidae,Brachyteles,arachnoides,Brazil,Neotropic,CR,Brachyteles arachnoides
Primates,Atelidae,Lagothrix,lagothricha,Colombia|Venezuela|Ecuador|Peru|Brazil|Bolivia,Neotropic,VU,Lagothrix lagothricha
Primates,Callitrichidae,Callithrix,geoffroyi,Brazil,Neotropic,LC,Callithrix geoffroyi
Primates,Callitrichidae,Callithrix,jacchus,Brazil,Neotropic,LC,Callithrix jacchus
Primates,Callitrichidae,Saguinus,fuscus,Colombia|Brazil,Neotropic,LC (as Leontocebus fuscus),Saguinus fuscus
Primates,Callitrichidae,Saguinus,geoffroyi,Panama|Colombia,Neotropic,NT (as Oedipomidas geoffroyi),Saguinus geoffroyi
Primates,Callitrichidae,Saguinus,oedipus,Colombia,Neotropic,CR (as Oedipomidas oedipus),Saguinus oedipus
Primates,Cebidae,Cebus,capucinus,Honduras|Nicaragua|Costa Rica|Panama|Colombia|Ecuador,Neotropic,VU,Cebus capucinus
Primates,Cebidae,Saimiri,sciureus,Guyana|Suriname|French Guiana|Brazil,Neotropic,LC,Saimiri sciureus
Primates,Pitheciidae,Pithecia,pithecia,Venezuela|Guyana|Suriname|French Guiana|Brazil,Neotropic,LC,Pithecia pithecia
Primates,Tarsiidae,Carlito,syrichta,Philippines,Indomalaya,NT,Carlito syrichta
Primates,Tarsiidae,Tarsius,fuscus,Indonesia,Australasia,VU,Tarsius fuscus
Primates,Cheirogaleidae,Microcebus,murinus,Madagascar,Afrotropic,LC,Microcebus murinus
Primates,Lemuridae,Hapalemur,griseus,Madagascar,Afrotropic,VU,Hapalemur griseus
Primates,Lemuridae,Lemur,catta,Madagascar,Afrotropic,EN,Lemur catta
Primates,Lorisidae,Nycticebus,javanicus,Indonesia,Indomalaya,CR,Nycticebus javanicus
Primates,Lorisidae,Xanthonycticebus,pygmaeus,Laos|Vietnam|Cambodia,Indomalaya,EN (as Nycticebus pygmaeus),Xanthonycticebus pygmaeus
Lagomorpha,Leporidae,Sylvilagus,brasiliensis,Colombia|Ecuador|Peru|Venezuela|Guyana|Suriname|French Guiana|Brazil|Bolivia|Paraguay|Argentina,Neotropic,EN,Sylvilagus brasiliensis
Rodentia,Caviidae,Cavia,porcellus,Domesticated,,NE,Cavia porcellus
Rodentia,Chinchillidae,Chinchilla,lanigera,Chile,Neotropic,EN,Chinchilla lanigera
Rodentia,Erethizontidae,Erethizon,dorsatum,Canada|United States|Mexico,Nearctic,LC,Erethizon dorsatum
Rodentia,Hystricidae,Hystrix,cristata,Italy|Tunisia|Algeria|Morocco|Libya|Egypt|Mauritania|Mali|Senegal|Gambia|Guinea-Bissau|Guinea|Sierra Leone|Liberia|Cote d'Ivoire|Burkina Faso|Ghana|Togo|Benin|Nigeria|Cameroon|Chad|Central African Republic|Democratic Republic of the Congo|Sudan|South Sudan|Eritrea|Djibouti|Ethiopia|Somalia|Uganda|Kenya|Rwanda|Burundi|Tanzania,Afrotropic|Palearctic,LC,Hystrix cristata
Rodentia,Ctenomyidae,Ctenomys,brasiliensis,Uruguay,Neotropic,DD,Ctenomys brasiliensis
Rodentia,Echimyidae,Phyllomys,brasiliensis,Brazil,Neotropic,EN,Phyllomys brasiliensis
Rodentia,Echimyidae,Myocastor,coypus,Brazil|Bolivia|Paraguay|Uruguay|Argentina|Chile,Neotropic,LC,Myocastor coypus
Rodentia,Octodontidae,Aconaemys,fuscus,Chile|Argentina,Neotropic,LC,Aconaemys fuscus
Rodentia,Octodontidae,Octodon,degus,Chile,Neotropic,LC,Octodon degus
Rodentia,Gliridae,Graphiurus,murinus,Ethiopia|Kenya|Uganda|Democratic Republic of the Congo|Rwanda|Burundi|Tanzania|Zambia|Malawi|Zimbabwe|Mozambique|South Africa|Eswatini|Lesotho,Afrotropic,LC,Graphiurus murinus
Rodentia,Sciuridae,Prosciurillus,murinus,Indonesia,Australasia,LC,Prosciurillus murinus
Rodentia,Sciuridae,Tamiops,maritimus,China|Taiwan|Vietnam|Laos,Palearctic|Indomalaya,LC,Tamiops maritimus
Rodentia,Sciuridae,Sciurus,brasiliensis,Brazil|Paraguay|Argentina,Neotropic,NE,Sciurus brasiliensis
Rodentia,Sciuridae,Sciurus,carolinensis,Canada|United States,Nearctic,LC,Sciurus carolinensis
Rodentia,Sciuridae,Sciurus,griseus,United States|Mexico,Nearctic,LC,Sciurus griseus
Rodentia,Sciuridae,Ictidomys,tridecemlineatus,Canada|United States,Nearctic,LC,Ictidomys tridecemlineatus
Rodentia,Sciuridae,Marmota,monax,Canada|United States,Nearctic,LC,Marmota monax
Rodentia,Sciuridae,Spermophilus,pygmaeus,Kazakhstan|Russia,Palearctic,LC,Spermophilus pygmaeus
Rodentia,Castoridae,Castor,canadensis,Canada|United States|Mexico,Nearctic,LC,Castor canadensis
Rodentia,Heteromyidae,Dipodomys,ordii,Canada|United States|Mexico,Nearctic,LC,Dipodomys ordii
Rodentia,Heteromyidae,Perognathus,flavescens,United States|Mexico,Nearctic,LC,Perognathus flavescens
Rodentia,Dipodidae,Stylodipus,sungorus,China|Mongolia,Palearctic,LC,Stylodipus sungorus
Rodentia,Cricetidae,Arvicola,amphibius,United Kingdom|Portugal|Spain|France|Switzerland|Belgium|Netherlands|Germany|Denmark|Luxembourg|Liechtenstein|Italy|Austria|Slovenia|Croatia|Bosnia and Herzegovina|Montenegro|Serbia|Kosovo|Albania|North Macedonia|Greece|Bulgaria|Romania|Hungary|Slovakia|Czech Republic|Poland|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Georgia|Azerbaijan|Turkey|Iran|Kazakhstan|China|Mongolia,Palearctic,LC,Arvicola amphibius
Rodentia,Cricetidae,Eolagurus,przewalskii,Mongolia|China,Palearctic,LC,Eolagurus przewalskii
Rodentia,Cricetidae,Microtus,arvalis,Portugal|Spain|France|Belgium|Netherlands|Luxembourg|Switzerland|Liechtenstein|Italy|Austria|Germany|Denmark|Czech Republic|Croatia|Bosnia and Herzegovina|Montenegro|Albania|North Macedonia|Bulgaria|Serbia|Kosovo|Slovenia|Slovakia|Hungary|Romania|Moldova|Ukraine|Poland|Belarus|Lithuania|Latvia|Estonia|Finland|Russia,Palearctic,LC,Microtus arvalis
Rodentia,Cricetidae,Neodon,fuscus,China,Palearctic,LC,Neodon fuscus
Rodentia,Cricetidae,Phodopus,sungorus,Kazakhstan|Russia,Palearctic,LC,Phodopus sungorus
Rodentia,Cricetidae,Baiomys,musculus,Mexico,Nearctic,LC,Baiomys musculus
Rodentia,Cricetidae,Neotoma,albigula,United States|Mexico,Nearctic,LC,Neotoma albigula
Rodentia,Cricetidae,Peromyscus,maniculatus,Canada|United States,Nearctic,LC,Peromyscus maniculatus
Rodentia,Cricetidae,Holochilus,brasiliensis,Brazil|Paraguay|Uruguay|Argentina,Neotropic,LC,Holochilus brasiliensis
Rodentia,Cricetidae,Holochilus,sciureus,Brazil,Neotropic,LC,Holochilus sciureus
Rodentia,Cricetidae,Nectomys,rattus,Colombia|Venezuela|Guyana|Suriname|French Guiana|Brazil|Peru|Paraguay,Neotropic,LC,Nectomys rattus
Rodentia,Cricetidae,Oligoryzomys,flavescens,Brazil|Bolivia|Paraguay|Uruguay|Argentina,Neotropic,LC,Oligoryzomys flavescens
Rodentia,Cricetidae,Oryzomys,fulgens,Mexico,Nearctic,NE,Oryzomys fulgens
Rodentia,Muridae,Acomys,cahirinus,Israel|Egypt|Libya|Sudan|Ethiopia|Eritrea|Djibouti,Afrotropic|Palearctic,LC,Acomys cahirinus
Rodentia,Muridae,Brachiones,przewalskii,China,Palearctic,LC,Brachiones przewalskii
Rodentia,Muridae,Meriones,unguiculatus,Russia|Mongolia|China,Palearctic,LC,Meriones unguiculatus
Rodentia,Muridae,Typomys,trivirgatus,Sierra Leone|Guinea|Liberia|Cote d'Ivoire|Ghana|Nigeria,Afrotropic,LC (as Hybomys trivirgatus),Typomys trivirgatus
Rodentia,Muridae,Apomys,musculus,Philippines,Indomalaya,LC,Apomys musculus
Rodentia,Muridae,Mastacomys,fuscus,Australia,Australasia,NT,Mastacomys fuscus
Rodentia,Muridae,Melomys,fulgens,Indonesia,Australasia,DD,Melomys fulgens
Rodentia,Muridae,Notomys,fuscus,Australia,Australasia,VU,Notomys fuscus
Rodentia,Muridae,Pseudohydromys,fuscus,Papua New Guinea,Australasia,LC,Pseudohydromys fuscus
Rodentia,Muridae,Pseudohydromys,murinus,Papua New Guinea,Australasia,LC,Pseudohydromys murinus
Rodentia,Muridae,Mus,musculus,Ireland|United Kingdom|Portugal|Spain|France|Netherlands|Belgium|Luxembourg|Switzerland|Liechtenstein|Italy|Malta|Austria|Germany|Denmark|Czech Republic|Slovenia|Slovakia|Hungary|Croatia|Bosnia and Herzegovina|Serbia|Kosovo|Montenegro|Albania|North Macedonia|Greece|Bulgaria|Romania|Moldova|Ukraine|Poland|Belarus|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Morocco|Algeria|Tunisia|Libya|Egypt|Sudan|Eritrea|Ethiopia|Djibouti|Georgia|Armenia|Azerbaijan|Turkey|Cyprus|Syria|Lebanon|Israel|Palestine|Jordan|Saudi Arabia|Yemen|Oman|United Arab Emirates|Qatar|Bahrain|Kuwait|Iraq|Iran|Turkmenistan|Uzbekistan|Kazakhstan|Kyrgyzstan|Tajikistan|Afghanistan|Pakistan|India|Nepal|Sri Lanka|Bangladesh|Bhutan|Mongolia|China|Japan|Myanmar|Thailand|Vietnam|Laos|Cambodia|Malaysia,Palearctic|Afrotropic|Indomalaya,LC,Mus musculus
Rodentia,Muridae,Hylomyscus,pygmaeus,Democratic Republic of the Congo,Afrotropic,NE,Hylomyscus pygmaeus
Rodentia,Muridae,Micromys,pygmaeus,China|India|Myanmar,Indomalaya|Palearctic,NE,Micromys pygmaeus
Rodentia,Muridae,Rattus,norvegicus,Iceland|Ireland|United Kingdom|Portugal|Spain|France|Luxembourg|Belgium|Netherlands|Germany|Denmark|Switzerland|Liechtenstein|Italy|Austria|Czech Republic|Hungary|Slovakia|Slovenia|Croatia|Bosnia and Herzegovina|North Macedonia|Serbia|Kosovo|Albania|Greece|Bulgaria|Romania|Poland|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Georgia|Armenia|Azerbaijan|Turkey|Cyprus|Lebanon|Israel|Palestine|Egypt|Jordan|Syria|Iran|Turkmenistan|Uzbekistan|Tajikistan|Kyrgyzstan|Kazakhstan|Mongolia|China,Palearctic,LC,Rattus norvegicus
Rodentia,Muridae,Rattus,rattus,Ireland|United Kingdom|Portugal|Spain|France|Netherlands|Luxembourg|Belgium|Germany|Switzerland|Liechtenstein|Austria|Italy|Malta|Slovenia|Czech Republic|Hungary|Croatia|Bosnia and Herzegovina|Serbia|Kosovo|Montenegro|Albania|North Macedonia|Greece|Bulgaria|Romania|Moldova|Ukraine|Belarus|Poland|Lithuania|Latvia|Estonia|Russia|Georgia|Armenia|Azerbaijan|Turkey|Cyprus|Syria|Lebanon|Israel|Palestine|Jordan|Saudi Arabia|Qatar|United Arab Emirates|Oman|Iran|Pakistan|India|Sri Lanka|Nepal|Bhutan|Bangladesh|Morocco|Algeria|Tunisia|Libya|Egypt|Sudan|Ethiopia|Djibouti|Senegal|Gambia|Guinea-Bissau|Guinea|Mali|Sierra Leone|Liberia|Cote d'Ivoire|Ghana|Togo|Benin|Nigeria|Cameroon|Democratic Republic of the Congo|Republic of the Congo|South Sudan|Uganda|Kenya|Rwanda|Burundi|Tanzania|Zambia|Malawi|Mozambique|Angola|Namibia|Zimbabwe|South Africa|Eswatini|Madagascar,Afrotropic|Indomalaya|Palearctic,LC,Rattus rattus
Eulipotyphla,Soricidae,Crocidura,flavescens,South Africa|Lesotho|Eswatini|Mozambique,Afrotropic,LC,Crocidura flavescens
Eulipotyphla,Soricidae,Crocidura,monax,Tanzania,Afrotropic,DD,Crocidura monax
Eulipotyphla,Soricidae,Suncus,murinus,Afghanistan|Pakistan|India|Sri Lanka|Nepal|Bhutan|Bangladesh|China|Myanmar|Thailand|Laos|Vietnam|Cambodia|Malaysia|Singapore|Indonesia|Brunei|East Timor,Palearctic|Indomalaya|Australasia,LC,Suncus murinus
Eulipotyphla,Soricidae,Blarina,carolinensis,United States,Nearctic,LC,Blarina carolinensis
Eulipotyphla,Soricidae,Sorex,unguiculatus,China|Russia|Japan|North Korea?,Palearctic,LC,Sorex unguiculatus
Eulipotyphla,Talpidae,Condylura,cristata,Canada|United States,Nearctic,LC,Condylura cristata
Chiroptera,Pteropodidae,Pteropus,griseus,Indonesia|East Timor,Australasia,VU,Pteropus griseus
Chiroptera,Pteropodidae,Pteropus,vampyrus,China?|Myanmar|Cambodia|Vietnam|Thailand|Malaysia|Singapore|Indonesia|Brunei|Philippines|East Timor,Indomalaya|Australasia,EN,Pteropus vampyrus
Chiroptera,Hipposideridae,Hipposideros,larvatus,India|Bangladesh|Myanmar|Vietnam|Laos|Cambodia|Thailand|Malaysia|Indonesia,Indomalaya|Palearctic,LC,Hipposideros larvatus
Chiroptera,Hipposideridae,Hipposideros,pygmaeus,Philippines,Indomalaya,LC,Hipposideros pygmaeus
