order,family,genus,specificEpithet,countryDistribution,biogeographicRealm,iucnStatus,Scientific_Name
Carnivora,Mephitidae,Mephitis,mephitis,Canada|United States|Mexico,Nearctic|Neotropic,LC,Mephitis mephitis
Carnivora,Mustelidae,Gulo,gulo,United States|Canada|Russia|China|Mongolia|Finland|Sweden|Norway|Estonia,Nearctic|Palearctic,LC,Gulo gulo
Carnivora,Mustelidae,Martes,americana,Canada|United States,Nearctic,LC,Martes americana
Carnivora,Mustelidae,Martes,martes,Portugal|Spain|France|Ireland|United Kingdom|Luxembourg|Belgium|Netherlands|Germany|Denmark|Switzerland|Liechtenstein|Austria|Italy|Czech Republic|Poland|Hungary|Slovakia|Slovenia|Croatia|Bosnia and Herzegovina|Serbia|Kosovo|Albania|Montenegro|North Macedonia|Greece|Bulgaria|Romania|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Georgia|Armenia|Azerbaijan|Turkey|Syria|Iraq|Iran|Kazakhstan,Palearctic,LC,Martes martes
Carnivora,Mustelidae,Enhydra,lutris,Japan|Russia|Canada|United States|Mexico,Marine,EN,Enhydra lutris
Carnivora,Mustelidae,Lontra,canadensis,Canada|United States|Mexico?,Nearctic,LC,Lontra canadensis
Carnivora,Mustelidae,Lutra,lutra,Morocco|Algeria|Tunisia|Ireland|United Kingdom|Portugal|Spain|France|Netherlands|Belgium|Luxembourg|Switzerland|Liechtenstein|Italy|Germany|Denmark|Austria|Czech Republic|Slovakia|Poland|Hungary|Slovenia|Croatia|Bosnia and Herzegovina|Serbia|Kosovo|Montenegro|Albania|North Macedonia|Greece|Bulgaria|Romania|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Georgia|Armenia|Azerbaijan|Turkey|Syria|Lebanon|Israel|Palestine|Jordan|Iraq|Iran|Turkmenistan|Uzbekistan|Kazakhstan|Kyrgyzstan|Tajikistan|Afghanistan|Pakistan|India|Sri Lanka|Nepal|Bhutan|China|Mongolia|North Korea|South Korea|Myanmar|Thailand|Laos|Vietnam|Cambodia|Indonesia,Palearctic|Indomalaya,NT,Lutra lutra
Carnivora,Mustelidae,Pteronura,brasiliensis,Colombia|Venezuela|Guyana|Suriname|French Guiana|Ecuador|Peru|Brazil|Bolivia|Paraguay|Argentina?|Uruguay?,Neotropic,EN,Pteronura brasiliensis
Carnivora,Mustelidae,Mustela,erminea,Canada|United States|Ireland|United Kingdom|Portugal|Spain|France|Belgium|Luxembourg|Netherlands|Germany|Denmark|Switzerland|Liechtenstein|Italy|Austria|Czech Republic|Slovakia|Poland|Hungary|Slovenia|Croatia|Bosnia and Herzegovina|Serbia|Romania|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Kazakhstan|Uzbekistan|Kyrgyzstan|Tajikistan|Afghanistan|Pakistan|India|Mongolia|Japan,Nearctic|Palearctic,LC,Mustela erminea
Carnivora,Mustelidae,Mustela,furo,Domesticated,,NE,Mustela furo
Carnivora,Procyonidae,Bassariscus,astutus,United States|Mexico,Nearctic,LC,Bassariscus astutus
Carnivora,Procyonidae,Procyon,lotor,Canada|United States|Mexico|Guatemala|Belize|Honduras|El Salvador|Nicaragua|Costa Rica|Panama,Nearctic|Neotropic,LC,Procyon lotor
Carnivora,Procyonidae,Procyon,pygmaeus,Mexico,Neotropic,CR,Procyon pygmaeus
Carnivora,Otariidae,Arctocephalus,gazella,Antarctica|Australia|French Southern and Antarctic Lands|South Africa|Prince Edward Islands|South Georgia and the South Sandwich Islands|Argentina|Brazil|Chile|Saint Helena,Marine,LC,Arctocephalus gazella
Carnivora,Otariidae,Otaria,flavescens,Argentina|Brazil|Chile|Falkland Islands|Peru|Uruguay|Colombia|Ecuador,Marine,LC (as Otaria byronia),Otaria flavescens
Carnivora,Phocidae,Cystophora,cristata,Canada|Greenland|Iceland|Norway|Antigua and Barbuda?|Bahamas?|Bermuda?|Denmark?|France?|Germany?|Ireland?|Portugal?|Puerto Rico?|Russia?|Saint Barthélemy?|Spain?|Turks and Caicos Islands?|United Kingdom?|United States?,Marine,VU,Cystophora cristata
Carnivora,Ursidae,Ursus,maritimus,Canada|United States|Greenland|Norway|Russia|Iceland?,Nearctic|Palearctic,VU,Ursus maritimus
Carnivora,Canidae,Canis,familiaris,Domesticated,,NE,Canis familiaris
Carnivora,Canidae,Canis,lupus,Portugal|Spain|France|Luxembourg|Belgium|Netherlands|Germany|Denmark|Switzerland|Liechtenstein|Italy|Austria|Czech Republic|Poland|Slovakia|Hungary|Slovenia|Croatia|Bosnia and Herzegovina|Serbia|Kosovo|Montenegro|Albania|North Macedonia|Greece|Bulgaria|Romania|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Georgia|Armenia|Azerbaijan|Turkey|Syria|Lebanon|Israel|Palestine|Jordan|Saudi Arabia|Qatar|United Arab Emirates|Oman|Yemen|Kuwait|Iraq|Iran|Turkmenistan|Uzbekistan|Kazakhstan|Kyrgyzstan|Tajikistan|Afghanistan|Pakistan|India|Nepal|Bhutan|Bangladesh?|Myanmar|China|Mongolia|North Korea|South Korea|Canada|Greenland|United States|Mexico,Nearctic|Palearctic,LC,Canis lupus
Carnivora,Canidae,Nyctereutes,procyonoides,Russia|China|Mongolia|North Korea|South Korea|Vietnam,Palearctic,LC,Nyctereutes procyonoides
Carnivora,Canidae,Vulpes,vulpes,Morocco|Algeria|Tunisia|Libya|Egypt|Ireland|United Kingdom|Portugal|Spain|France|Luxembourg|Netherlands|Belgium|Germany|Denmark|Switzerland|Liechtenstein|Italy|Austria|Czech Republic|Poland|Slovakia|Hungary|Slovenia|Croatia|Bosnia and Herzegovina|Serbia|Kosovo|Albania|Montenegro|North Macedonia|Greece|Bulgaria|Romania|Moldova|Ukraine|Belarus|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Georgia|Armenia|Azerbaijan|Turkey|Syria|Lebanon|Israel|Palestine|Jordan|Saudi Arabia|Oman|Yemen|United Arab Emirates|Qatar|Iraq|Kuwait|Iran|Turkmenistan|Uzbekistan|Kazakhstan|Kyrgyzstan|Tajikistan|Afghanistan|Pakistan|Mongolia|China|North Korea|South Korea|Japan|India|Nepal|Bhutan|Bangladesh|Myanmar|Canada|Greenland|United States,Nearctic|Palearctic,LC,Vulpes vulpes
Carnivora,Felidae,Felis,catus,Domesticated,,NE,Felis catus
Carnivora,Felidae,Leopardus,geoffroyi,Bolivia|Brazil|Paraguay|Uruguay|Argentina|Chile,Neotropic,LC,Leopardus geoffroyi
Carnivora,Felidae,Lynx,canadensis,Canada|United States,Nearctic,LC,Lynx canadensis
Carnivora,Felidae,Lynx,lynx,France|Switzerland|Liechtenstein|Germany|Austria|Czech Republic|Poland|Slovakia|Hungary|Slovenia|Croatia|Bosnia and Herzegovina|Montenegro?|Serbia?|Kosovo?|Greece?|Bulgaria|Romania|Moldova?|Ukraine|Lithuania|Latvia|Estonia|Norway|Sweden|Finland|Russia|Georgia|Armenia|Azerbaijan|Turkey|Iraq|Iran|Turkmenistan|Uzbekistan|Kazakhstan|Kyrgyzstan|Tajikistan|Afghanistan|Pakistan|India|Nepal|Bhutan?|China|Mongolia|North Korea,Palearctic,LC,Lynx lynx
Carnivora,Felidae,Panthera,leo,India|Angola|Benin|Botswana|Burkina Faso|Cameroon|Central African Republic|Chad|Democratic Republic of the Congo|Eswatini|Ethiopia|Kenya|Malawi|Mozambique|Namibia|Niger|Nigeria|Senegal|Somalia|South Africa|South Sudan|Sudan|Tanzania|Uganda|Zambia|Zimbabwe|Cote d'Ivoire?|Ghana?|Guinea?|Guinea-Bissau|Mali?|Rwanda?|Togo?,Afrotropic|Indomalaya,VU,Panthera leo
Carnivora,Felidae,Panthera,tigris,Bangladesh|Bhutan|India|Nepal|China|Russia|North Korea?|Myanmar|Thailand|Laos|Vietnam?|Cambodia?|Malaysia|Indonesia,Indomalaya|Palearctic,EN,Panthera tigris
Carnivora,Herpestidae,Herpestes,flavescens,Angola|Namibia,Afrotropic,LC,Herpestes flavescens
Carnivora,Hyaenidae,Hyaena,hyaena,Senegal|Mauritania|Mali|Guinea?|Burkina Faso|Benin?|Nigeria|Niger|Cameroon|Central African Republic?|Chad|Morocco|Algeria|Tunisia|Libya|Sudan?|South Sudan|Eritrea?|Djibouti|Ethiopia|Somalia?|Kenya|Uganda|Tanzania|Israel|Palestine|Lebanon|Jordan|Saudi Arabia|Kuwait?|Qatar?|United Arab Emirates?|Oman|Yemen|Syria|Turkey|Armenia|Azerbaijan|Georgia|Iraq|Iran|Turkmenistan|Uzbekistan|Tajikistan|Afghanistan|Pakistan|India|Nepal,Afrotropic|Indomalaya|Palearctic,NT,Hyaena hyaena
Carnivora,Viverridae,Genetta,cristata,Nigeria|Cameroon|Gabon?|Republic of the Congo?,Afrotropic,VU,Genetta cristata
Perissodactyla,Equidae,Equus,asinus,Domesticated,,NE,Equus asinus
Perissodactyla,Equidae,Equus,caballus,Domesticated,,NE,Equus caballus
Artiodactyla,Antilocapridae,Antilocapra,americana,Canada|United States|Mexico,Nearctic,LC,Antilocapra americana
Artiodactyla,Bovidae,Gazella,gazella,Israel|Palestine|Jordan|Turkey|Egypt?|Lebanon?|Syria?,Palearctic,EN,Gazella gazella
Artiodactyla,Bovidae,Nanger,dama,Morocco|Algeria|Chad|Mali|Niger|Sudan?,Afrotropic|Palearctic,CR,Nanger dama
Artiodactyla,Bovidae,Procapra,przewalskii,China,Palearctic,EN,Procapra przewalskii
Artiodactyla,Bovidae,Capra,hircus,Domesticated,,NE,Capra hircus
Artiodactyla,Bovidae,Naemorhedus,goral,Pakistan|India|Bhutan|Nepal|China|Myanmar?,Palearctic,NT,Naemorhedus goral
Artiodactyla,Bovidae,Naemorhedus,griseus,Myanmar|China|India,Palearctic,NE,Naemorhedus griseus
Artiodactyla,Bovidae,Ovis,aries,Domesticated,,NE,Ovis aries
Artiodactyla,Bovidae,Ovis,canadensis,Canada|United States|Mexico,Nearctic,LC,Ovis canadensis
Artiodactyla,Bovidae,Oryx,gazella,Angola|Namibia|Botswana|Zimbabwe|South Africa,Afrotropic,LC,Oryx gazella
Artiodactyla,Bovidae,Neotragus,pygmaeus,Guinea|Sierra Leone|Liberia|Cote d'Ivoire|Ghana,Afrotropic,LC,Neotragus pygmaeus
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Senegal|Gambia|Guinea-Bissau|Guinea|Sierra Leone|Mali|Cote d'Ivoire|Burkina Faso|Ghana|Togo|Benin|Niger|Nigeria|Cameroon|Chad|Central African Republic|Democratic Republic of the Congo|South Sudan|Sudan|Eritrea|Ethiopia|Uganda|Kenya|Somalia|Rwanda|Burundi|Tanzania|Zambia|Malawi|Mozambique|Angola|Zimbabwe|Botswana|Namibia|South Africa|Eswatini,Afrotropic,LC,Kobus ellipsiprymnus
Artiodactyla,Bovidae,Bos,bison,Canada|United States|Mexico,Nearctic,NT (as Bison bison),Bos bison
Artiodactyla,Bovidae,Bos,javanicus,Myanmar|China?|Laos?|Vietnam|Thailand|Cambodia|Indonesia|Malaysia,Indomalaya|Palearctic,EN,Bos javanicus
Artiodactyla,Bovidae,Bos,taurus,Domesticated,,NE,Bos taurus
Artiodactyla,Bovidae,Bubalus,bubalis,Domesticated,,NE,Bubalus bubalis
Artiodactyla,Cervidae,Alces,alces,Germany|Czech Republic|Slovakia|Belarus|Croatia|Hungary|Moldova|Romania|Poland|Ukraine|Norway|Sweden|Finland|Estonia|Latvia|Lithuania|Russia|Kazakhstan|Mongolia|China|Canada|United States,Nearctic|Palearctic,LC,Alces alces
